Close/Last,Volume,Open,High,Low,Day
597.21,50737210,602.02,603.03,596.49,0
599.94,76519820,610.16,610.3,599.47,1
610.38,36554000,611.54,611.684,607.02,2
612.93,31011070,610.08,613.23,609.56,3
611.49,26749030,610.88,611.49,608.38,4
609.7,26910450,609.94,610.99,609.07,5
609.73,40921300,604.48,609.94,603.2,6
603.36,45076080,599.2,604.55,598.51,7
605.31,30056740,602.55,605.86,602.43,8
604.85,26048710,604.03,605.4999,602.74,9
600.77,50788520,606.89,608.13,600.05,10
606.32,35771500,605.99,606.4525,602.63,11
604.22,30653150,600.64,604.37,598.58,12
601.78,33457820,597.83,602.3,597.28,13
597.77,65857250,592.67,600.29,590.49,14
601.82,66671470,607.5,609.96,601.05,15
605.04,39281260,603.96,606.6,600.715,16
601.81,37177430,603.72,604.13,599.22,17
604.52,44433320,600.62,605.37,597.25,18
599.37,70361130,594.81,599.69,594.64,19
607.97,34604690,609.81,610.78,606.8,20
609.75,41152100,605.8,609.75,605.52,21
606.44,48195970,605.92,607.82,605.36,22
603.05,42532850,600.67,603.06,598.67,23
597.58,58070630,596.96,599.36,595.61,24
591.64,43319660,594.175,594.35,590.93,25
592.78,56900160,590.325,593.94,589.195,26
582.19,48420580,584.36,585,578.35,27
581.39,47910060,575.77,581.75,575.35,28
580.49,73105050,585.88,585.95,578.55,29
589.49,47304670,588.7,590.5799,585.195,30
588.63,60393050,597.42,597.75,586.78,31
595.36,47679440,596.27,599.7,593.6,32
591.95,37888460,587.53,592.6,586.43,33
584.64,50203980,589.39,591.13,580.5,34
586.08,57052650,589.905,590.6399,584.42,35
588.22,56578760,587.89,591.74,584.41,36
595.01,64969310,597.54,597.7761,590.7647,37
601.34,41338890,599.5,602.48,598.0825,38
601.3,33160100,596.06,601.34,595.47,39
594.69,57635830,590.89,595.3,587.661,40
591.15,125716700,581.77,595.75,580.91,41
586.1,85919450,591.36,593,585.85,42
586.28,108248700,603.98,606.405,585.89,43
604.29,55773550,604.19,605.17,602.885,44
606.79,43695180,606,607.7795,605.21,45
604.21,35904730,606.4,607.13,602.81,46
604.33,31543810,606.58,607.16,604.33,47
