Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/16/2025,Thursday,4.10,Bus Fare,Travel,Debit,Need
1/17/2025,Friday,4.10,Bus Fare,Travel,Debit,Need
1/18/2025,Saturday,0.00,,,,
1/19/2025,Sunday,0.00,,,,
1/20/2025,Monday,4.10,Bus Fare,Travel,Debit,Need
1/21/2025,Tuesday,4.10,Bus Fare,Travel,Debit,Need
1/22/2025,Wednesday,4.10,Bus Fare,Travel,Debit,Need
1/23/2025,Thursday,4.10,Bus Fare,Travel,Debit,Need
1/24/2025,Friday,0.00,,,,
1/25/2025,Saturday,0.00,,,,
1/26/2025,Sunday,0.00,,,,
1/27/2025,Monday,4.10,Bus Fare,Travel,Debit,Need
1/27/2025,Monday,22.99,Vbucks(I was coerced),Entertainment and Recreation,Debit,Want
1/27/2025,Tuesday,8.20,Bus Fare,Travel,Debit,Need
1/27/2025,Tuesday,12.34,Jollibee,Food,Debit,Want
1/28/2025,Wednesday,4.10,Bus Fare,Travel,Debit,Need
1/29/2025,Thursday,4.10,Bus Fare,Travel,Debit,Need
1/30/2025,Friday,4.20,Train Fare,Travel,Debit,Want
1/31/2025,Saturday,0.00,,,,
2/1/2025,Sunday,0.00,,,,
